,text,target
44,"пришла за 23 дня.качество прекрасное.ткань похожа на плотный стрейч, на осень прекрасно. кружево мягкое.",текстиль
45,джинсы пришли с пятнами,одежда
46,"ткань довольно тонкая, но я брала для косплея, так что норм. размер S на мои 91-66-97 довольно свободно висит, на рост ~170 по длине великовато",одежда
47,"была маленькая дырочка, и полноразмерная",нет товара
49,все супер! доставка месяц) спасибо продавцу)),нет товара
50,"Очень милая и приятная на ощупь, пришла очень быстро",нет товара
51,"Качество нормальное. Но сильно маломерят. Заказала М, а она в лучшем случае ХS. ",одежда
52,"Очень милые носочки, качество не плохое",одежда
53,"мало того, что заказ отправили не туда. так еще и деньги не возвращают",товары для детей
54,"Заказ шел 2 недели. Думала, что качество будет получше, да еще и дырка на штанах. Вообщем не очень понравились.",одежда
55,не пришли!!! спор ничего не дал! не берите к этого продавца ничего.,нет товара
56,"Заказывала М на 165 рос 60 кг,  но было мол мерка не влезла. качество отличное",нет товара
57,Самый долгий заказ на Алиэкспресс.,нет товара
58,платье велико в бедрах. хоть и размер с. быстрая доставка. смотрится не очень. вырез ворота ужасный.,обувь
59,Трусы не пришли,одежда
60,"много торчащих ниток,внутри шов на шортах не ровный,и где лиф ажур вообще неровный",одежда
61,Супер-пупер! Пришло за 17 дней по бесплатной доставке !!! Очень понравилось как смотрится ,нет товара
62,"это прям ужас, не поняла восторженных отзывов, мне носить не хочется, тряпка! везде нитки, швы никакие.",одежда
63,"Ткань тонкая, размер L идёт на М ",одежда
64,"платье не подходит по описанию очень плохо,теперь что делать незнаю!больше не одну вещь тут не закажу,!",одежда
65,"колготки очень короткие, на пост 162 не подошли совсем! стрелка не очень ровная и толстая. не советую здесь покупать.",одежда
66,"Качество не очень понравилось, синтетика и тонкая очень. И с размером не угадала- большая мне.",одежда
67,"товар пришел быстро. но без толку.
 вещь являет собой просто вырезанную тряпочку с одними лишь боковыми швами. ни горловина, ни низ, ни пройма даже не оверложены!
убожество!!!",одежда
68,"Так ,что то не очень.Одно радует рукова  нормальные.А вот длина убки выше колен,а не до колена.И МНЕ КАЖЕТСЯ, ОНО ПОЛЕНЯЕТ ПОСЛЕ СТИРКИ.",одежда
69,Прекрасное платье за свою цену! На рост 168 и 44 р-о М-ка села идеально.Длина оказалась до пола.Из минусов - синтетическая ткань юбки при активных танцах начинает электризоваться))),одежда
71,"терпеливо ждала 4 месяца, но ничего так и не пришло",нет товара
72,"на 48 размер,  объем груди 96см., xxxl велико.",нет товара
73,"Заказывала 3 розовые и 2 светло-розовые ,в итоге пришли 5 одинаковых  шапок !!!",украшения и аксессуары
74,Все хорошо но она просвечиваеться более летний вариант,одежда
75,"очень хорошая кофта хотя это скорее идёт как туника, заказ пришел быстро, заказала 11.11 получила 30.11",одежда
76,Пришло с браком,нет товара
77,"Шло в Москву очень долго, доставка хреновая. Открыла спор, вроде деньги вернули. Но долго продлевали защиту несколько раз. Лучше не продлевайте - нет смысла ждать. Продавец вроде общительный. ",нет товара
78,"Красивый бордовый цвет, хорошая форма.Даже на моих маленьких параметрах груди смотрится хорошо (79-62-92),достаточно свободна. Доставка- недели две до Мск.Очень довольна!Рекомендую.",одежда
79,"качество хорошее, швы ровные, приятная ткань, не синтетика",нет товара
80,С размером ошиблась. На российский 50 52 точно меньше надо брать чем 5 xl. Немного мешковато сел. А так вещь понравилась,одежда
81,товар не пришел. и не отслеживался. деньги не вернули.,нет товара
82,"Качество отличное ,доставка до Башкирии 3 недели",нет товара
83,"Прекрасные шорты! Отличное качество, сидят хорошо, быстрая доставка. Взяла s сели отлично не маломерят. Спасибо ! ",одежда
84,"Брюки хорошие, но написано в описании что они теплые, а по факту тонкие не утепленные. Очень разочарована этим обманом. Заказывать у этого продавца больше не буду.",одежда
85,"Цвет не тот что заказывали , рубашка с браком, швы разошлись и рваная. В остальном все устраивает ",одежда
86,все подошло . ткань не очень.,одежда
87,"Платье огромного размера, пошив не фабричный, нет никаких  лейблов, края не обметаны, сама ткань не плохая,тяжёлая, тянется, возможно будут катышки, заказом осталась недовольна, за эти деньги на А
ли можно купить вещь лучше.",одежда
88,"Всем рекомендую,классный свитер",одежда
89,Отличная удобная кофточка,одежда
90,"Х/б носочки,хорошее качество,пришли вовремя,дочь очень довольна.",товары для детей
91,"Ожидала другого от этого платья ,материал очень тонкий .Осталась не довольна покупкой .",одежда
92,Очень маленькая. Размерная таблица не соответствует действительности. На ОГ 86см брала М.,одежда
93,"Заказываю во второй раз. Качество так же на высоте, размер M подходит на бедра 93 см. Кружево тонкое и швы под одеждой не заметны. Спасибо большое!",одежда
94,Продавец прислал не тот свитер!! Я очень расстроена!!!,одежда
95,Плохое качества это платье даже 300 руб не стоит (((,одежда
96,"Долго ждала посылку. Оказались велики, хоть и выглядят как колготки, но сваливаются при ходьбе ",нет товара
97,Жутко просвечивает. И вверх  и низ. Заказывала розовое. Фатин желтый. Я разочарована. Носить не буду.,одежда
98,"Товар доставили курьером на дом, костюм хороший, но на рост 170 брюки короткие. Вес 54 кг- размер М подошёл ",одежда
99,"рисунок на вещи не совпадает, рукава широкие",одежда
100,"Доставили очень быстро.  Качество отличное, выглядит маленьким, но хорошо тянется, по весу тяжелый, мягкий. На размер 46-48 взяла XL, подошёл. Рукава нормальные, не короткие. Очень теплый свитер.",одежда
101,"Синтетика сплошная, мало, брала размер L на рост 158, грудь 90, талия 70, бедра 98. Обтянуто как любительскую колбасу. Жаль деньги, буду как то расшивать, но синтетику не очень хочется носить...",нет товара
102,Отлично! ,нет товара
103,"доставка быстрая, соответствует описанию и картинке. на свой 44 размер брала м. платье короткое, резинка туговатая, но на одно плечо сидит хорошо. оценку снижают за ткань. не приятная, скользкая ...",одежда
104,заказ шел долго. супер эффекта не нашла. стрелки пошли после первой носки! таких денег не стоят однозначно.,нет товара
105,"Топ короткий. Очень короткий. Почитала отзывы, специально взяла на размер больше, но напрасно. Так что имейте в виду.",одежда
106,"туника пришла без размерная, рукава короткие с ужасным запахом",одежда
107,"Не пришли,спор длился недели 2-3..",нет товара
108,"Платье на фото бежевого цвета, в реальности оно пудрового, почти розового цвета. В принципе, платье бомба. Удовлетворил и размер и материал. Но цвет не то, что на картинке. Печально.",одежда
109,"Хорошая водолазка, но очень тонкая, меня сильно обтянула! на параметры 93-60  хотелось бы на размер больше!",одежда
110,"Товар не пришел. Деньги вернули. Но продавец хороший и милый. Просто, может быть, мне не повезло.",нет товара
111,"Товар так и не пришёл. Вместо блузки прислали резиновых опарышей (!!!) ржали долго) правда продавец обещал отправить другим заказом, но пока глухо. За опарвшей отдельное спасибо.",одежда
112,"Трусы не плохие ,но  две шт. из пяти не соответствуют заказанным (замена расцветки на худшию),одни из них большего размера,мне велики ,остальные на о.б. 98 сели хорошо.",одежда
113,Не по размеру и плохо пошито,нет товара
114,"На мой рост(157см)не подошел,слишком короткие.Сшито очень плохо.Лосины не стоят таких цен",одежда
115,"До Хабаровского края дошла за месяц, трек отслеживался, качество отличное, очень понравилась, правда электризуется, подошел размер XXL   на рос.50",нет товара
116,"Отличные трусики , буду заказывать еще. На размер 46 брала XL. Доставка быстрая, трек отслеживался.",одежда
118,наверно хорошие а так не получили,нет товара
120,Жаль，товар так и не получила.Открыла спор，вернули деньги.Потерялся наверное на просторах нашей страны.,нет товара
121,"Заказ шел 2 месяца. Размер подошел (мой 46-48 заказала XL). Верхние карманы оказались фальшивыми, непонятно, зачем городить молнию было, тем более она не ровно вшита. Нижние карманы маленькие.",одежда
122,хорошая теплая кофта. все как в описании,одежда
123,"Не стоит заплаченных денег((( ткань плохая, полоска чёрная на самом видном месте",одежда
124,мало( xxxl подошел только на 42 размер(,обувь
125,Товар не пришёл вернули деньги,нет товара
126,"Материал как у мед.халата...просвечивает, выглядит дешево. Размер не соответствует. Подклад где-то есть, а где-то нет... торчат нитки...900р это не стоит.  Я разочарована...",нет товара
127,С размером не угадал. А так всё как на картинке. Спасибо продавцу. Рекомендую!,одежда
128,Не подошёл размер ,нет товара
129,три месяца жду не получила блузку. жалко конечно,нет товара
130,"От кофточки ожидала большего..судя по отзывам. оказалась велика, цвет не соответствует фото. Не очень приятный запах, тут же отправила в стирку.",одежда
131,продавец отправил товар на другой адрес!! обман,нет товара
132,"не ахти качество...доставка ужасная , пришлось потратить день , что бы найти ячейку куда бросила курьерская служба CDEK это пальто",одежда
133,"кофточка хорошенькая,правда на 40_42 надо было на размер меньше брать",одежда
134,"на рост 163 и 44р брала L.По размеру вроде нормально,но талия высоко,платье очень короткое,особенно полклад.Буду сама переделывать.Так материал мягкий,цвет как заявлен.Доставка быстрая.Платье на очень маленький рост не выше 150",одежда
135,Размер не соответствует. Заказали 4XL по факту оказался на 50 размер максимум.,одежда
136,Отличная рубашка. Отличное качество.,одежда
137,как на картинке!,нет товара
138,Размер куртки не соответствует вашей линейки размеров,одежда
139,"Юбка классная,из плотного стрейча,смотрится супер,доставка три недели.",одежда
140,"Состав 90% Полиамид 10% Эластан, даже ластовица, швы прошиты небольшиии шовчиками и проклеены клеем.",обувь
141,Платье просто великолепное. Качество супер. Закажу в другом цвете ещё.,одежда
142,"качество средне..на картинке яркий ,а пришел не яркий цвет рукавов(((",одежда
143,"Товар не пришел, деньги вернули ",нет товара
144,"свитер тонкий,но качество хорошее",одежда
145,материал на фото матовый похож на хлопок а на самом деле блестит и структура резины,текстиль
146,цвет совсем не такой как был заказан,нет товара
147,заказ прислали на другой конец города. зачем продавцу адрес дается???,нет товара
148,"Ткань хорошая, но модель какая-то несуразная. Спина пошита как мужская рубашка, ни о какой приталиности речи не идет. Наоборот очень широкая, как для горба. Не буду носить.",одежда
149,Прекрасная блузка. По размеру подошло. Пришла быстро.,одежда
150,"Юбка не плохая, но очень сильно маломерит.  Брала XL российский ношу L или похудею, или отдам дочке (предварительно ушив))))
Доставка быстрая. Трек отслеживался.",одежда
151,"Очень классная, мне понравилось, материал мягкий, буду заказывать еще",одежда
152,Товар пришёл с зелёными пятнами!,нет товара
153,"На 46 размер взяла L , все хорошо, только вот рукав можно было бы длиннее сделать. А так в принципе не плохо.",одежда
154,хорошая куртка. красивый цвет,одежда
155,"подошло очень хорошо! у меня 90-76-92, размер М брала, качество неплохое, закажу ещё черный!",одежда
156,"Really nice love them all with logo and nice sturdy quality,i will buy more.",нет товара
157,"Очень-очень довольна!!! Отличный пошив и удачная модель! Присутствует запах, но надеюсь выветрится. Спасибо продавцу и удачных продаж!!! Рекомендую!!!",одежда
158,"Доставка быстрая,но размер не соответствует,XXL не налез даже на 48.Качество хорошее. Жаль,что не подошла.",нет товара
159,"курьер принес домой, все хорошо, но в талии большевато",одежда
160,"заказ пришёл через 55 дней, ещё и с пятном еле еле отстирали ставлю 2",нет товара
161,"Отличная юбка! Качественный принт, приятная ткань (сильно тянется). Размер подошел (на 48 размер брала XL). Спасибо продавцу. Собираюсь заказывать еще такую, но в другой расцветке ",одежда
162,Юбка выглядит очень дёшево. Тянется плохо. Ткань как будто дубовая и топорщится некрасиво. Она скорее на размер 42-44,одежда
163,"Кофта маломерит. На свои параметры по таблице размеров заказала L- оказалась маловата, по факту соответствует M. За это снимаю звезды",одежда
164,"Кофта не подошла по размеру,качество ткани просто ужасное.",одежда
165,юбка пришла быстро. на размер 42-44 оказалась узкой резинка.,одежда
166,"Заказ пришёл за 2,5 недели. Трек отслеживался. Упаковоно все очень хорошо. В подарок положили резинку для волос. Спасибо большое продавцу",нет товара
167,"Не получила заказ, продавец вернул деньги",нет товара
168,"послали по другому адресу,  пришлось ставить на спор. недовольна продавцом!",нет товара
169,"Качество хорошие, но размер L оказался маловат.",одежда
170,Спасибо большое за быстрату. Красивый цвет,нет товара
171,"куртка очень странная. по бокам нашиты подушки , которые здорово прибавляют фигуре объем. но теплая. качество хорошее",одежда
172,джинсы сильно воняют... на рост 165 размер 27 очень короткие по длине.. продавец обещал скидку сделать если ещё закажу и я поверила заказала еще маме...а он обманул...скидки не было.. и вторые джинсы не айс...,одежда
173,не знаю в каком месте это синий. сфоткала со вспышкой и без. на мой взгляд это черный не насыщенный. размер xl  думаю максимум на 50р русский,нет товара
174,"заказ пришёл за 2 недели. все по размеру.. НО после первой носки верхний слой слез, теперь в мусор или под штаны.. очень жаль..",обувь
175,ни кофты ни денег только просьба не открывать спор и подождать четыре месяца прошло!!!! совести нет совсем!!!!,одежда
176,"Товар не пришёл, продавец отметил как доставлен, спор на возврат денег был открыт 02.11.17, деньги ещё не вернули",нет товара
177,"Очень много ниток. Ткань приятная,в общем соответствует цена качеству.",одежда
178,"ладно бы просто в талии большие были, с ремнем нормально, но там образуется пузырь на месте живота, не знаю,что и делать",одежда
179,"Кофта пришла быстро. Ткань приятная к телу. Но на кофте множество пятен, по моему жирных. Попытаемся отстирать. Размерный ряд не соответствует заявленному. Маломерка, хотя длина рукавов хороша.",одежда
180,"туника хорошего качества, но был брак (шов неровный и сборил)",одежда
181,на рост 170 штаны короткие,одежда
182,"доставка очень быстро 16 08
 заказали 30 08 уже получили.",одежда
183,"Майку не получила, деньги вернули.",одежда
184,"кофта пришла ооочень маленького размера , т .е вообще не соответствует размеру я разачерованна.",одежда
185,"очень тоненький. цвет не такой как на фото, намного темнее. но за такую цену 565 руб. нормально",текстиль
186,"куртка очень тонкая, на осень не пойдет, пуха очень мало и просвечевает через ткань, цвет белый не берите. Летом в ней только ходить",одежда
187,куртка маломерит  по сетке не проходит,одежда
188,"За такие деньги она оправдала себя.  Брала L на свой размер M  и не прргадала, ибо можно было бы взять еще побольше.",одежда
189,ужасная синтетика с торчащими нитками,нет товара
190,"Размерная сетка не соответствует, заказывала 80D на русский 70D - оказался дико мал. Качество не самое лучшее, чистая синтетика.",нет товара
191,цвета не яркие как на фото,нет товара
192,"Качество отличное, швы ровные, запаха нет и петель тоже нет, но это не критично. Продавцу спасибо!",нет товара
193,"Платье просто супер!Очень понравилось,качество пошива на отлично.На ОГ 106 И ОБ 112 впритык.Длина чуть ниже колена при росте 164 см.Платье отслеживалось хорошо.Купила за 1047 рублей.Продавец молодец",одежда
194,"Доставка в г. Томск 16 дней.
Юбочка выполнена качественно, материал мягкий. Но не подошла, так как заказали по размеру, а описания размера не читали. Будьте внимательны!
Во стольном все понравилось, Продавцу спасибо.",нет товара
195,Вещь только на маленькую грудь. Никакой второй размер туда не поместится и ничего не держит. Может служить только в качестве накладки для тех у кого на теле минимум.,нет товара
196,"Пипец! Заказал xl, а пришёл хз знает какой, я думаю 42если не меньше! Жесть!!!!!",одежда
197,"Пижама не доехала, застряла в Китае, по истечении 2.5 месяцев поняла что её потеряли. Деньги вернули быстро в течении недели",нет товара
198,"Размер только на ог/от/об 89/73/96, плечо 37, рост 164. Тогда как на фото продавца. На размер более получатся в обтяг, она конечно тянется, но это просто ужасно.",одежда
199,If you order in the dimensional table set one size in my parameters. And came one size smaller. Jacket small to me.,одежда
200,"Маленькие, размер не соответствует",нет товара
201,"Платье пришло с зацепкой спереди, на видном месте((( очень жаль, носить не смогу",одежда
202,Пришли уже в полинявшем состоянии...носить невозможно,текстиль
203,"колготки очень понравились, но пришли с браком.... пришлось открыть спор",одежда
204,"ткань - синтетика среднего качества, размерная сетка не соответствует действительности. Нитки не торчат. не пахнет. В общем за такие деньги более менее.. рекомендую брать на размер побольше.",одежда
205,"Хорошие, плотные носки, прекрасно подошли на размер 39-40. Ребенок доволен. Рекомендую. Спасибо.",одежда
206,"все пришло супер,быстро,качество класс,рекомендую",нет товара
207,"Размер не соответсвует ,немного не тот цвет,рассчитан для девочек лет 10-12",товары для детей
208,Ужасная синтетика! Расстроилась. Размер наверно 48-50. Своих денег не стоит вообще! Хотела даже спор открыть,нет товара
209,"Товар заказывала в апреле,до августа так и не пришёл,деньги продавец вернуть отказался.Не рекомендую",нет товара
210,материал не такой плотный и теплый.но мягкий.  для летних вечеров самый раз,одежда
211,"К сожалению, платье  не соответствует фотографии и описанию, на которой представлено платье. Размер «S»  очень сильно велик в талии, в плечах. Рукава сильно короткие. Длина платье, не то, что мини, а минимини.",одежда
212,размер маленький на 2 раза больше надо заказать,одежда
213,"хорошая качественная рубашка, по размеру в целом подошла (немого только расходится в груди, но на мне все рубашки так сидят), доставка в Тулу 3 недели. Запаха нет.",одежда
214,к сожалению товар я не получила,нет товара
216,Отличная рубашка! На 50-52 надо 4xl,одежда
217,"Товар понравился полностью соответствует описанию.  К телу приятные, пришли за две недели.",одежда
218,товар не пришел. деньги вернули. продовец очень общительный,нет товара
219,"Приятная,мягкая.Полоски яркие. На 42-44  М-ка хорошо и даже рукава не коротки.",одежда
220,"Свой заказ я так и не получила, но спасибо за возврат денег.",нет товара
221,"Заказала 2 кофты, красную и розовую. Розовая оказалась больше и цвет не как на фото. Ядерно розовый. Как у барби. ",одежда
222,заказали ххл но он подошёл на 40- 42 на вес 51 рост 161 шел месяцев отслеживается качество хорошее с хлопком плотный не прилипает грязь,одежда
223,отличная футболка! качество хорошее. быстрая доставка. спасибо продавцу!,одежда
224,"УЖАСНАЯ КОФТА. ЖДАЛА ОЧЕНЬ ДОЛГО,ТАК МНЕ ЕЩЕ И ДЕНЬГИ НЕ ВЕРНУЛИ!! кофта мала,и качество как половая тряпка",одежда
226,Пришло совсем не то что заказывали,нет товара
227,"Посылка не дошла, деньги вернули. ",нет товара
228,"Размер 3XL  на 46-48. На меня мало. Не соответствует фото. В реальности спереди подол короче сантиметров на 10, рукава без отворотов, ткань полусинтетика.",одежда
229,"Размер не соответствует, очень маленький, на подростка",товары для детей
230,"Заказала пришёл другой цвет, плохого качества, не такое как на фотографии!!!Первый раз заказывала и не удачно ",нет товара
231,"Хорошая, тёплая толстовка! Размер на худенького подростка), моему ребёнку 13 лет, село в самый раз. Спасибо за быструю доставку и подарочек, очень приятно!",одежда
232,"качество пуховика не плохое, но смутили пятна не понятного происхождения",одежда
233,"по итогу,заказ не получила.Открыла спор,который борианули со всеми моими претензиями.Почта России похерила или с номером отслеживания какая то беда...",нет товара
234,"Яркое, красивое, классное. Рекомендую.",нет товара
235,"Размер не соответствует, сильно маломерит. Заказала S, а нужно было М, а может даже  L. Написала продавцу, даже не ответил.",одежда
236,вместо шорт продавец прислал какую-то хрень,нет товара
237,"Кофта не на долгую носку.После стирки качество ооочень испортилось! 
А так симпатичная, хорошо смотрится!",одежда
238,очень  лёгкая но не просвечивает  к телу  приятно  смотрится супер размер  соответствует действительности на 42 брала  s,одежда
239,заказ не пришел. деньги вернули через 4 месяца.,одежда
240,"товар не пришел 2 месяца ждала, на сообщение не отвечают, деньги не вернули",нет товара
241,"ужасный товар , не кому не советую, даже дома стыдно одевать",одежда
242,"На фото более толстая вязка, на самом деле тонкий трикотаж. Разочарована. Покупать не советую.",одежда
243,Все хорошо,нет товара
244,"Доставка быстрая и курьером до двери, что очень порадовало, материал хороший натуральный ",одежда
245,"Товар пришёл быстро,продавец хороший. по качеству товар не очень хороший,после первой носки стал скатываться!это очень расстроило меня.цена приличная, а качество плохое!",одежда
246,пришли с браком,нет товара
247,"это просто ужас! по совету продавца на свой русский S заказала размер M и я в нем утонула. боди ОЧЕНЬ большое, не подошло. я очень расстроена. отдала маме, на ней еще более менее. товар не рекомендую!",товары для детей
